refDate,reporterISO,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qtyUnitAbbr,qty,isQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,primaryValue,value_per_unit
2021-01-01,AND,Andorra,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,13.41,False,13.41,False,0.0,False,722829.581,53902.280462341536
2021-01-01,AND,Andorra,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,2.73,False,2.73,False,0.0,False,130611.026,47842.86666666667
2021-01-01,AND,Andorra,Import,World,710813,"Metals; gold, semi-manufactured",kg,10.68,False,10.68,False,0.0,False,592218.554,55451.175468164794
2021-01-01,ARG,Argentina,Import,World,284330,Gold compounds,kg,1.06,False,1.06,False,0.0,False,18654.52,17598.603773584906
2021-01-01,ARG,Argentina,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,3.5,False,3.5,False,0.0,False,3985.54,1138.7257142857143
2021-01-01,ARG,Argentina,Import,World,710813,"Metals; gold, semi-manufactured",kg,3.5,False,3.5,False,0.0,False,3985.54,1138.7257142857143
2021-01-01,ARM,Armenia,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,82.119,False,82.125,False,0.0,False,4918418.2,59893.790718347766
2021-01-01,ARM,Armenia,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,82.112,False,82.115,False,0.0,False,4916884.91,59880.22347525332
2021-01-01,ARM,Armenia,Import,World,710813,"Metals; gold, semi-manufactured",kg,0.008,False,0.01,False,0.0,False,1533.29,191661.25
2021-01-01,AUS,Australia,Import,World,284330,Gold compounds,kg,0.689,False,0.689,False,0.0,False,40992.553,59495.72278664732
2021-01-01,AUS,Australia,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,6106.398,True,6106.398,True,0.0,False,344720008.072,56452.26663443818
2021-01-01,AUS,Australia,Import,World,710811,"Metals; gold, non-monetary, powder",kg,12.134,True,12.134,True,25.0,False,679493.521,55999.13639360474
2021-01-01,AUS,Australia,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,6066.745,True,6066.745,True,0.0,False,342519199.873,56458.47977342051
2021-01-01,AUS,Australia,Import,World,710813,"Metals; gold, semi-manufactured",kg,27.52,True,27.52,True,0.0,False,1521314.677,55280.32983284884
2021-01-01,AZE,Azerbaijan,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,5.0,False,5.0,False,0.0,False,298012.3,59602.46
2021-01-01,AZE,Azerbaijan,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,5.0,False,5.0,False,0.0,False,298012.3,59602.46
2021-01-01,BEL,Belgium,Import,World,284330,Gold compounds,kg,14.66,False,14.66,False,0.0,False,235628.216,16072.866030013642
2021-01-01,BEL,Belgium,Import,World,710811,"Metals; gold, non-monetary, powder",kg,0.1,False,0.1,False,0.0,False,892.622,8926.22
2021-01-01,BOL,Bolivia (Plurinational State of),Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,2.5,False,5.0,False,0.0,False,108366.66,43346.664000000004
2021-01-01,BOL,Bolivia (Plurinational State of),Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,1.1,False,3.0,False,0.0,False,68150.57,61955.06363636364
2021-01-01,BOL,Bolivia (Plurinational State of),Import,World,710813,"Metals; gold, semi-manufactured",kg,1.4,False,2.0,False,0.0,False,40216.09,28725.77857142857
2021-01-01,BIH,Bosnia Herzegovina,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,0.01,False,0.01,False,0.0,False,97.47,9747.0
2021-01-01,BIH,Bosnia Herzegovina,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,0.01,False,0.01,False,0.0,False,97.47,9747.0
2021-01-01,BRA,Brazil,Import,World,284330,Gold compounds,kg,0.07,True,0.07,True,0.0,False,2133.0,30471.42857142857
